History for BANK-1:
  [rev 1] RUN_STARTED  (2026-07-23T21:30:40.857Z)
  [rev 1] SKILL_COMPLETED skill=spec  (2026-07-23T21:30:41.510Z)
  [rev 2] STATE_TRANSITIONED STARTED -> SPECIFIED  (2026-07-23T21:30:41.511Z)
  [rev 2] PROJECTION_RECONCILED projection=jira  (2026-07-23T21:30:41.512Z)
  [rev 2] SKILL_COMPLETED skill=plan  (2026-07-23T21:30:41.830Z)
  [rev 3] STATE_TRANSITIONED SPECIFIED -> PLANNED  (2026-07-23T21:30:41.831Z)
  [rev 3] PROJECTION_RECONCILED projection=jira  (2026-07-23T21:30:41.833Z)
  [rev 3] SKILL_COMPLETED skill=build  (2026-07-23T21:30:42.412Z)
  [rev 4] STATE_TRANSITIONED PLANNED -> BUILT  (2026-07-23T21:30:42.601Z)
  [rev 4] PROJECTION_RECONCILED projection=jira  (2026-07-23T21:30:42.602Z)
  [rev 4] SKILL_COMPLETED skill=review  (2026-07-23T21:30:42.925Z)
  [rev 5] STATE_TRANSITIONED BUILT -> REVIEWED  (2026-07-23T21:30:43.135Z)
  [rev 5] PROJECTION_RECONCILED projection=jira  (2026-07-23T21:30:43.137Z)
  [rev 5] SKILL_COMPLETED skill=ship  (2026-07-23T21:30:43.464Z)
  [rev 6] STATE_TRANSITIONED REVIEWED -> SHIPPED  (2026-07-23T21:30:43.665Z)
  [rev 6] RUN_COMPLETED  (2026-07-23T21:30:43.665Z)
  [rev 6] PROJECTION_RECONCILED projection=jira  (2026-07-23T21:30:43.668Z)
  [rev 6] PROJECTION_RECONCILED projection=gitlab  (2026-07-23T21:30:43.668Z)
  [rev 6] PROJECTION_RECONCILED projection=jira  (2026-07-23T21:31:11.013Z)
  [rev 6] PROJECTION_RECONCILED projection=gitlab  (2026-07-23T21:31:11.014Z)
